,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
4941,5,Erie,Buffalo (City),1.3 MI SSE OF PEACE BRIDG,Porter Avenue Ramp,190 IX NB Exit N9,NYS Thruway Authority,1969,8,28
4990,5,Erie,Cheektowaga (Town),2.5 MI S OF DEPEW,BRENTWOOD DRIVE,SLATE BOTTOM CRK,Town,1970,8,28
3896,9,Delaware,Colchester (Town),0.6MI N SULLIVAN CL,17  17 93081347,CR 17,NYSDOT,1968,8,28
16098,8,Ulster,Wawarsing (Town),3.4 MI NW OF LACKAWACK,55A 55A86021020,TROUT CREEK,"NYC Dept of Water Supply, Gas and Electric",2000,8,28
13705,7,St Lawrence,Canton (Village),VIL CANTON-.1 MI E JCT68W,11  11 75061304,GRASSE RIVER,NYSDOT,1981,8,28
8537,2,Montgomery,Florida (Town),1.3 MI W I-90 INT 27,SNOOKS CORNERS RD,90IX,NYS Thruway Authority,1953,8,28
5976,7,Franklin,,0.2 Mi West of Simms RD,Sam Cook Road,Tributary of Chateaugay River,County,2015,8,28
14823,10,Suffolk,Islip (Town),.9 MILE S JCT SH 27 & RMC,908J908J07011063,UNION BLVD- CR 50,NYSDOT,1952,8,28
11182,4,Orleans,Ridgeway (Town),0.3MI E JCT RTS 104 + 269,104 104 45021003,JEDDO CREEK,NYSDOT,1914,8,28
6535,2,Hamilton,Speculator (Village),Jessup River Road,Jessup River Road,Miami River,NYS Dept of Environmental Conservation,2011,8,28
2445,5,Chautauqua,Jamestown (City),AT JAMESTOWN,FOOTE AVENUE,CHADAKOIN RIVER,County,1950,8,28
4360,8,Dutchess,Dover (Town),.9 MILE EAST OF WEBATUCK,DOGTAIL CORNERS RD,TENMILE RIVER,County,2008,8,28
11916,11,Queens,New York (City),295I OVER EAST RIVER,295IX,END APPR RAMP B,MTA Bridges and Tunnels (aka TBTA),1961,8,29
12177,11,Queens,New York (City),JFK INTERNATIONAL AIRPORT,HOV OVERPASS,JFK EXPRESSWAY,Port Authority of NY and NJ,1994,8,29
723,6,Allegany,Willing (Town),0.1 MI N OF SHONGO,19  19 61011018,GRAVES CREEK,NYSDOT,1994,8,29
11726,8,Putnam,Carmel (Town),2.5 MI E OF MAHOPAC,W SHORE DR,W BRANCH CROTON RIVER,"NYC Dept of Water Supply, Gas and Electric",1908,8,29
8705,10,Nassau,Hempstead (Town),3.8 MI E NYC L-SSP,908M908M03011041,LONG ISLAND RR,NYSDOT,1954,8,29
3250,7,Clinton,Black Brook (Town),1.8 MI N OF HAWKEYE,SILVER LAKE ROAD,SARANAC RIVER,County,2010,8,29
658,6,Allegany,Scio (Town),2.2 MI NE ALLENTOWN,417 417 61031178,KNIGHTS CREEK,NYSDOT,1994,8,29
5418,5,Erie,Sardinia (Town),2.6 MI EAST OF SARDINIA,GENESEE ROAD,HOSMER BROOK,County,1934,8,29
8135,4,Monroe,Henrietta (Town),EXIT 46 90I,Thruway Exit 46 R,90IX,NYS Thruway Authority,1952,8,29
669,6,Allegany,Scio (Town),0.6 MI W OF SCIO,CR#9 KNIGHT CK RD,KNIGHT CREEK,County,1974,8,29
10678,8,Orange,Cornwall (Town),1.0 MI W OF CORNWALL,MAIN STREET CR9,IDLEWILD CREEK,County,1929,8,29
8402,4,Monroe,Webster (Town),1.6MI W RTES 250 & 104 EB,104 104 43035258,HARD ROAD,NYSDOT,1986,8,29
1318,9,Broome,Lisle (Town),2.8 MILES NORTH OF LISLE,JENNINGS CREEK RD,TIOUGHNIOGA RIVER,County,1951,8,29
3592,8,Columbia,Hillsdale (Town),1.8 MI NE OF HILLSDALE,COLLINS STREET EXTENSION,ROELIFF JANSEN KILL,County,1965,8,29
9772,2,Oneida,Trenton (Town),.5 MI E JCT RTS 12 & 28,28  28 26071025,CINCINNATI CREEK,NYSDOT,1937,8,29
3397,7,Clinton,Saranac (Town),.1MI S RTE 3 CLAYBURG,CR1 SILVERLAKE RD,N.BR.SARANAC R.,County,1964,8,29
17055,8,Westchester,Pleasantville (Village),2.2MI N JCT RTS SMRP&TSP,987DX,SAWMILL RIVER,NYSDOT,2016,8,29
4400,8,Dutchess,East Fishkill (Town),4.1 MI E JCT RTS I84+9,LIMEKILN RD,84I84I 82021101,NYSDOT,1963,8,29
10452,4,Ontario,Canandaigua (City),0.8MI SW JCT RT21&RTS5&20,5   5 44052104,W LAKE RD (CR16),NYSDOT,1980,8,29
3506,8,Columbia,Chatham (Village),0.3 MI N JCT RTS 66 & 295,66  66 81011129,STONY KILL,NYSDOT,1886,8,29
