,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
13034,1,Saratoga,Clifton Park (Town),1.5 MI S BALLSTON LAKE,ASHDOWN ROAD,DELAWARE & HUDSON,County,1974,11,5
13377,9,Schoharie,Cobleskill (Village),AT COBLESKILL,7   7 95041103,COBLESKILL CREEK,NYSDOT,1937,11,5
15963,8,Ulster,Saugerties (Town),2.6 MI SW OF SAUGERTIES,GLASCO TURNPIKE,ESOPUS CREEK,County,1962,11,5
6925,7,Jefferson,Henderson (Town),3 MI SE OF HENDERSONS HBR,COUNTY ROAD 78,LITTLE STONY CREEK,County,2008,11,5
10382,3,Onondaga,Syracuse (City),JCT I690 RAMP & ONON CRK,HERALD PLACE,ONONDAGA CREEK,NYSDOT,1964,11,5
8710,10,Nassau,Hempstead (Town),4.1 MI W JCT SSP & WSP,908M908M03011074,BROOKSIDE AVENUE,NYSDOT,1930,11,5
15030,9,Sullivan,Delaware (Town),0.2 MI SE OF CALLICOON,CREAMERY ROAD,CALLICOON CREEK,County,1962,11,5
622,6,Allegany,Independence (Town),1.8 MI S OF WHITE&VILLE,COUNTY ROAD 19,SPRING MILLS CRK,County,1989,11,5
9634,2,Oneida,Marcy (Town),AT  MARCY,CR88 RIVER ROAD,NINE MILE CREEK,County,1921,11,5
17400,4,Wyoming,Gainesville (Town),0.6 MI NE ROCK GLEN,NEWBURG ROAD,OATKA CREEK,County,1977,11,5
12915,8,Rockland,Orangetown (Town),1.0 MI SW OF SPARKILL,WASHINGTON STREET,SPARKILL CREEK,County,1940,11,5
15345,9,Sullivan,,3 mile N. of Narrowsburg,ACKERMAN ROAD,SMITH BROOK,Town,2001,11,5
8294,4,Monroe,Rochester (City),EB 490 over Exchange St,490I 490I43022033,Exchange Blvd,NYSDOT,2006,11,5
4113,9,Delaware,Harpersfield (Town),IN WEST HARPERSFIELD,COUNTY ROAD 33,CENTER BROOK,County,1995,11,5
11559,9,Otsego,Milford (Town),HAMLET OF PORTLANDVILLE,COUNTY ROAD 35A,SUSQUEHANNA RIVER,County,2002,11,5
4947,5,Erie,Buffalo (City),2 MI SE JCT I190 & SH 5,SOUTH PARK AVE,NORFOLK SOUTHERN,City,1981,11,5
12906,8,Rockland,Orangetown (Town),1.1 MI N JCT RTE 303+PIP,ROUTE 303,SPARKILL CREEK,NYSDOT,1932,11,5
9694,2,Oneida,Remsen (Town),N BARDWELL MILLS&E RTE 12,BARDWELL MILLS RD,KAYUTA LAKE,NYSDOT,1950,11,5
14422,6,Steuben,Howard (Town),2.1 MI NW OF HOWARD,CR 55,86I 17 64044116,NYSDOT,1970,11,5
395,6,Allegany,Amity (Town),1.2 MI SE OF BELMONT,BACK RIVER RD,LONG GORE CREEK,Town,1960,11,5
4492,8,Dutchess,Pawling (Town),.5 MI W JCT SH55 & 22,55  55 82032209,MNRR HA LINE,NYSDOT,2000,11,5
2273,5,Chautauqua,Dunkirk (Town),0.8 MI SW OF DUNKIRK,CHESTNUT ROAD,BEAVER CREEK,County,1950,11,5
9912,2,Oneida,Vienna (Town),2.5 MI NORTH OF VIENNA,FACTORY STREET,W.BR FISH CREEK,County,1990,11,5
