,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
7757,2,Madison,Lenox (Town),2.3 MI NE OF CANASTOTA,CR10 NORTH COURT ST,COWASELON CREEK,County,2009,10,9
10025,3,Onondaga,Clay (Town),2.3 MI SE JCT RTS 481$ 31,481 481 33011049,MUD CREEK,NYSDOT,1993,10,9
15983,8,Ulster,Shandaken (Town),4 MI W JCT SH 28 & SH 42,28  28 86012332,TRIBUTARY TO BIRCH CREEK,NYSDOT,1959,10,9
11550,9,Otsego,Milford (Town),.5 MI E INT SH 28 & SH 7,28  28 94033407,7   7 94033044,NYSDOT,1985,10,9
5392,5,Erie,Orchard Park (Town),1.9MI S JCT RTS 20A & 219,COUNTY ROAD 370,219 219 53121196,NYSDOT,1977,10,9
15986,8,Ulster,Shandaken (Town),.8 MI N JCT SH 42 & SH 28,42  42 86031008,BUSHNELLSVILLE CK,NYSDOT,1938,10,9
2271,5,Chautauqua,Dunkirk (Town),2.9 MI W OF DUNKIRK INT,90IX WB,CANADAWAY CREEK,NYS Thruway Authority,1955,10,9
2550,5,Chautauqua,Pomfret (Town),2.9 MI W OF DUNKIRK INT,90IX EB,CANADAWAY CREEK,NYS Thruway Authority,1955,10,9
11581,9,Otsego,Oneonta (City),IN CITY OF ONEONTA,88I 88I94062033,23  23 94022109,NYSDOT,1973,10,9
16657,8,Westchester,Cortlandt (Town),AT CROTON ON HUDSON,QUAKER BRIDGE RD,CROTON RIVER,County,1930,10,9
17129,8,Westchester,Sleepy Hollow (Village),2 MILES NW OF TARRYTOWN,PALMER AVENUE,MNRR HU LINE,Railroad,1910,10,9
6642,2,Herkimer,Ilion (Village),.75 MI W OF ROUTE 8,5S  5S23021408,FULMER CREEK,NYSDOT,1991,10,9
2871,6,Chemung,Horseheads (Town),.3 MI S JCT SR 13 & SR 17,LATTA BROOK ROAD,86I  14 6201 3038,NYSDOT,1967,10,9
9505,2,Oneida,Barneveld (Village),0.8 MI N JCT RTS 12 & 28,12  12 26043106,CINCINNATI CR,NYSDOT,2013,10,9
4473,8,Dutchess,Milan (Town),0.3 MI W OF JACKSON CORS,COUNTY ROAD 56,ROELIFF JANSEN KL,County,1936,10,9
