,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
16476,4,Wayne,Arcadia (Town),4.4 MILES NE OF NEWARK,ARCAD-ZURIC ROAD,GANARGUA CREEK,County,1964,6,15
7814,2,Madison,Sullivan (Town),1.25 MI E OF CHITTENANGO,CREEK ROAD,CANASERAGA CREEK,County,1996,6,15
11914,11,Queens,New York (City),JCT GCP+I78,295I295IX5MR15D1,295I295IX5M12002,NYSDOT,1963,6,15
8139,4,Monroe,Honeoye Falls (Village),2.7 MI S JCT RTS 65 & 251,65  65 43031011,HONEOYE CREEK,NYSDOT,1996,6,15
11910,11,Queens,New York (City),JCT GCP+I295,295I295IX5MR01F2,295I295IX5M12002,NYSDOT,1963,6,15
15828,8,Ulster,Hardenburgh (Town),3.3 MI N OF SEAGER,DRY BROOK ROAD,DRY BROOK,County,1990,6,15
1945,5,Cattaraugus,Randolph (Town),1.7 MI SE JCT 17 + INT 16,ARCHER HILL ROAD,86I 17 51121052,NYSDOT,1971,6,15
16520,4,Wayne,Newark (Village),0.1 MI E JCT RTE 88 + C,EAST AVENUE,ERIE CANAL,Village,1914,6,15
1917,5,Cattaraugus,Perrysburg (Town),0.8 MI N VERSAILLES,951RX,LITTLE INDIAN CRK,NYSDOT,1992,6,15
14019,6,Steuben,Avoca (Town),JCT I390 & SR 415,390I390I64011058,415  15 64011426,NYSDOT,1976,6,15
11835,11,Queens,New York (City),2.7MI SE I78+CRSS ISL PKY,25AX,907A907AX5M21144,City,1939,6,15
16529,4,Wayne,Palmyra (Town),2.0 MI E JCT RTE 21 & C,GALLOWAY ROAD,ERIE CANAL,NYSDOT,1912,6,15
14848,10,Suffolk,Islip (Town),0.5 MI W OF JCT 27 & 454,BROADWAY AVENUE,27  27 07051202,NYSDOT,1996,6,15
14020,6,Steuben,Avoca (Town),JCT I390 & SR 415,390I390I64011058,415  15 64011426,NYSDOT,1976,6,15
9909,2,Oneida,Vienna (Town),2.OMI N.E.OF SYLVAN BEACH,COUNTY RD 50A,FISH CREEK,County,1985,6,15
11832,11,Queens,New York (City),0.3 E JCT SH 25A & C I PK,25A 25A05011109,ALLEY CREEK,City,1931,6,15
