,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
3380,7,Clinton,Plattsburgh (Town),BETWEEN EXITS 38 & 39-I87,87I 87I71051172,DEAD CREEK,NYSDOT,1958,7,31
8303,4,Monroe,Rochester (City),JCT I490 & W MAIN STREET,490I490I43022028,WEST MAIN STREET,NYSDOT,1974,7,31
11786,8,Putnam,Southeast (Town),.1 MI N JCT SH22 &US6/202,22  22 84041050,MNRR BEACON LINE,NYSDOT,1965,7,31
6016,2,Fulton,Gloversville (City),GLOVERSVILLE,HILL STREET,CAYADUTTA CREEK,City,2014,7,31
2028,3,Cayuga,Aurelius (Town),2 MI WEST OF AUBURN,WEBSTER ROAD,CRANE BROOK,Town,1955,7,31
8304,4,Monroe,Rochester (City),JCT I490 & W MAIN STREET,490I490I43022028,WEST MAIN STREET,NYSDOT,1974,7,31
10969,8,Orange,Wallkill (Town),.6 MILE EAST OF HOWELLS,DERBY ROAD,MNRR PJ LINE,County,1990,7,31
11818,8,Putnam,Southeast (Town),.9 MILE NORTH OF BREWSTER,TONETTA LAKE ROAD,MNRR BEACON LINE,Railroad,1986,7,31
13257,1,Schenectady,Glenville (Town),.8 MI W OF REXFORD,ALPLAUS AVENUE,ALPLAUS KILL,County,1969,7,31
12495,1,Rensselaer,Schodack (Town),JCT RT 9J & MUITZES KILL,9J  9J14021038,MUITZES KILL,NYSDOT,1973,7,31
10981,8,Orange,Wallkill (Town),IN MIDDLETOWN,NO GALLERIA DRIVE,MNRR PJ LINE,Town,1992,7,31
