,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
16843,8,Westchester,Mount Kisco (Village),0.5 MI S JCT RTS 117+172,117 117 87011098,KISCO RIVER,NYSDOT,1957,9,26
1776,5,Cattaraugus,Humphrey (Town),3.6 MI NE OF HUMPHREY,BOZARD HILL ROAD,WRIGHTS CREEK,County,1938,9,26
10192,3,Onondaga,Manlius (Town),.5 MI NW SH5 & LIMESTONE,BURDICK ST,VERNON'S CREEK,County,1975,9,26
10536,4,Ontario,Phelps (Town),0.5 MI N JCT 88 & I90,88  88 44012139,CANANDAIGUA OUTLT,NYSDOT,1994,9,26
1398,9,Broome,Union (Town),JCT SH 17C & SH 201,17C 17C91021082,LITTLE CHOCONUT CREEK,NYSDOT,1970,9,26
3054,9,Chenango,Guilford (Town),1.2 MI EAST OF GUILFORD,COUNTY ROAD 36,GUILFORD CREEK,County,1935,9,26
4688,5,Erie,Amherst (Town),1.4 MI SW JCT I90 & SH277,290IX EB RAMP TO 90IX EB,90IX,NYS Thruway Authority,1953,9,26
680,6,Allegany,Ward (Town),4.8 MI SW OF ALFRED,COUNTY ROAD 10,VANDERMARK CREEK,County,1994,9,26
679,6,Allegany,Ward (Town),3.6 MI SW OF ALFRED,COUNTY ROAD 10,VANDERMARK CREEK,County,1994,9,26
2107,3,Cayuga,Owasco (Town),.4 MI N OF OWASCO,COUNTY ROAD 72B,DUTCH HOLLOW BRK,County,2000,9,26
9759,2,Oneida,Steuben (Town),1.5 MI NW STUEBEN CORNERS,CARMICHAEL HLL RD,BIG BROOK,County,1941,9,26
12553,1,Rensselaer,Stephentown (Town),0.8 MI N JCT RTS 22 & 43,22  22 14071037,EAST CREEK,NYSDOT,1939,9,26
9251,5,Niagara,Lewiston (Town),1.0 MI S 957A ACCESS 190I,957A 957A54014003,INTERPLANT ROAD,NYS Power Authority,1963,9,26
16283,1,Warren,Warrensburg (Town),.5 M S INTERSTATE 87 EX24,CO HOME BRIDGE RD,SCHROON RIVER,County,2000,9,26
8893,10,Nassau,Oyster Bay (Town),0.1 MI W JCT RT I495 &135,495I495I03021130,495I WB TO 135 SB,NYSDOT,1997,9,26
17411,4,Wyoming,Java (Town),0.7 MI SW OF JAVA VILLAGE,MICHIGAN ROAD,TRIB. TO BUFFALO,County,1994,9,26
10653,8,Orange,Chester (Town),3.4 MI SW OF MONROE,TROUT BROOK ROAD,TROUT BROOK,County,1968,9,26
8880,10,Nassau,Oyster Bay (Town),0.1 MI N JCT RT I495 &135,135 135 03011108,495I WB TO 135 SB,NYSDOT,1996,9,26
3855,3,Cortland,,1.5MI NW 41 & W. Scott Rd,WEST SCOTT ROAD,VROOMAN GULF,County,2015,9,26
1419,9,Broome,Union (Town),HAMLET OF ENDWELL,WATSON BOULEVARD,PATTERSON CREEK,Town,1960,9,26
10205,3,Onondaga,Manlius (Town),OLD ERIE CANAL STATE PARK,N POOLS BROOK RD,ERIE CANAL PARK,NYSDOT,1927,9,26
16287,1,Warren,Warrensburg (Town),2 MI WEST OF I87 EXIT 23,MILTON STREET,SCHROON RIVER,County,2011,9,26
13516,6,Schuyler,Catharine (Town),1.8 MI NE JCT RTS 224&228,228 228 63011018,CATLIN MILL CREEK,NYSDOT,1982,9,26
13343,9,Schoharie,Blenheim (Town),9.1 MI NE OF DELAWARE CL,30  30 95021090,SCHOHARIE CREEK,NYSDOT,2005,9,26
13594,6,Schuyler,Orange (Town),2.4 MI NE OF MONTEREY,COUNTY ROAD 16,TRIB MEADS CREEK,County,2003,9,26
13344,9,Schoharie,Blenheim (Town),0.2 MI N North Blenheim,30   30 95021092,DEVILS RUN,NYSDOT,2005,9,26
13517,6,Schuyler,Catharine (Town),2.0 MI NE JCT RTS 224&228,228 228 63011020,CATLIN MILL CREEK,NYSDOT,1982,9,26
5867,7,Franklin,Fort Covington (Town),3 MI SW OF WESTVILLE CNTR,BUEL ROAD,E BR DEER CREEK,Town,1999,9,26
10141,3,Onondaga,Geddes (Town),0.3MI E INTRCH 39 OVR 90I,FR.RTE 48 TO 690I,90IX,NYSDOT,1987,9,26
5946,7,Franklin,Santa Clara (Town),7.3 MI SE JCT SH 72 & C.L,458  458 72021108,ST REGIS RIVER,NYSDOT,2009,9,26
2016,3,Cayuga,Auburn (City),1.1MI SE STATE PRISON IN,LAKE AVENUE,OWASCO OUTLET,City,1954,9,26
10321,3,Onondaga,Syracuse (City),JCT RTE 298 + BARGE CANAL,298 298 33011004,BARGE CANAL,NYSDOT,1960,9,26
6285,1,Greene,Catskill (Town),.5 MI S EXIT 21 OF I90,87IX,CATSKILL CREEK,NYS Thruway Authority,1955,9,26
16680,8,Westchester,Eastchester (Town),1.8 MILES NE OF TUCKAHOE,HARNEY ROAD,METRO NO COMMUTER,County,1951,9,26
3421,8,Columbia,Ancram (Town),ANCRAM,82  82 81021065,ROELIFF JANSEN KILL,NYSDOT,1997,9,26
10030,3,Onondaga,Clay (Town),IN CAUGHDENOY,CAUGHDENOY ROAD,CAUGHDENOY LOCK,NYSDOT,2005,9,26
103,1,Albany,Albany (City),RAPP RD.OVER TWY.,RAPP ROAD OVER TWY,90IX,NYS Thruway Authority,1986,9,26
17044,8,Westchester,Pelham Manor (Village),JCT OF RTS 1 < HRP,907W 907W87011002,1 X,NYSDOT,1933,9,26
9998,3,Onondaga,Cicero (Town),0.1 MI E JCT RTS 31 & 298,31  31 33091329,CHITTENANGO CREEK,NYSDOT,1999,9,26
16717,8,Westchester,Greenburgh (Town),4.1 MI N JCT BRP & SBSP,907G X,MNRR HA LINE,Railroad,2015,9,26
14240,6,Steuben,Corning (Town),2.1 MI NE OF PAINTED POST,COUNTY ROAD 41,BORDEN CREEK,County,1964,9,26
2623,5,Chautauqua,Sherman (Town),3.5MI.E.JCT.RTES 76 & 17,86I 17 52111126,TOWN LINE ROAD,NYSDOT,1982,9,26
4648,5,Erie,Alden (Town),7.4 MI E JCT SH 33 & SH78,33  33 53012128,ELLICOTT CREEK,NYSDOT,1960,9,26
6762,2,Herkimer,Schuyler (Town),E SCHY OVER BARGE C,MOSS ROAD,ERIE BARGE CANAL,NYSDOT,1910,9,26
12138,11,Queens,New York (City),.2 MI SW JCT CI PKWY&I495,EAST HAMPTON BLVD,495I 495IX5M13122,NYSDOT,2002,9,26
8022,4,Monroe,Greece (Town),0.8MI S JCT ROL NB+104,390 390 43011026,WEILAND ROAD,NYSDOT,1971,9,26
12072,11,Queens,New York (City),JCT GCP+I78,907M907MX5MR15D2,295I295IX5M11002,NYSDOT,1963,9,26
8023,4,Monroe,Greece (Town),0.8MI S JCT ROL SB+104,390 390 43011026,WEILAND ROAD,NYSDOT,1971,9,26
12708,11,Richmond,New York (City),2 MI S I278& W SHORE EXPY,MEREDITH AVENUE,440 440 X6M12070,NYSDOT,1973,9,26
4477,8,Dutchess,Milan (Town),2.5 MI SE OF ROCK CITY,SALISBURY TURNPKE,WARNER CREEK,Town,1928,9,26
11579,9,Otsego,Oneonta (City),AT CITY OF ONEONTA,88I 88I94062026,MAIN STREET,NYSDOT,1973,9,26
1435,9,Broome,Vestal (Town),JCT SH 26 & SUSQUEHANNA R,26  26 91011072,CR 44 - OLD VESTAL RD,NYSDOT,1964,9,26
5064,5,Erie,Collins (Town),1 MILE SE OF LAWTONS,KETCHUM RD,N BR CLEAR CREEK,County,1932,9,26
6928,7,Jefferson,Hounsfield (Town),1.1 MI S JCT RTS 3 + 180,3   3 73021213,MILL CREEK,NYSDOT,1933,9,26
7609,4,Livingston,Ossian (Town),2 MI W OF DANSVILLE,WILCOX ROAD,BRADNER CREEK,Town,1900,9,26
2622,5,Chautauqua,Sherman (Town),3.5 MI E JCT RTS 76 & 17,86I 17 52111126,TOWN LINE ROAD,NYSDOT,1996,9,26
7569,4,Livingston,Livonia (Town),2 MI NW OF LAKEVILLE,TRIPHAMMER ROAD,CONESUS OUTLET,County,2001,9,26
8035,4,Monroe,Greece (Town),1.2MI E JCT LOSP+RTE261,947A947A43021156,BUTTONWOOD CREEK,NYSDOT,1954,9,26
905,11,Bronx,New York (City),JCT I87+I95,E L GRANT HIGHWAY/UNIVERSITY AVE,95I  95IX1M21003,NYSDOT,1962,9,26
2953,6,Chemung,Veteran (Town),2.8 MI NE OF HORSEHEADS,JOHNSON ROAD,CATHARINE CREEK,County,1966,9,26
8895,10,Nassau,Oyster Bay (Town),JCT NSP & RTE I495,495I495I03021139,908G908G03011152,NYSDOT,1997,9,26
15734,3,Tompkins,Newfield (Town),IN NEWFIELD,COVERED BRIDGE ST,W.BR.CAYUGA INLET,County,1853,9,26
8233,4,Monroe,Perinton (Town),1 MI NW JCT I490 & SH 96,490I490I43023079,GARNSEY ROAD,NYSDOT,1969,9,26
2489,5,Chautauqua,North Harmony (Town),0.2MI.W.JCT.RTES 394 & 17,86I 17 52111187,BALL CREEK,NYSDOT,1982,9,26
8379,4,Monroe,Rush (Town),JCT SH 15 & I390,15  15 43031050,390I390I43031050,NYSDOT,1977,9,26
4061,9,Delaware,Hancock (Town),AT FISHS EDDY,BODOIT ROAD,FISH CREEK,County,1970,9,27
1083,9,Broome,Binghamton (City),In Binghamton,17  17 91072006,Prospect Conn,NYSDOT,2012,9,27
