,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
13855,7,St Lawrence,Norfolk (Town),IN NORFOLK,COUNTY ROAD 38A,RAQ RIV TAIL RACE,County,1959,12,10
12312,11,Queens,,AT LA GUARDIA AIRPORT,DELTA GROUND TO 102ND STREET SOUTH,GED ROADWAY,Port Authority of NY and NJ,2019,12,10
8350,4,Monroe,Rochester (City),JCT I490 EAST +MEIGS ST,MEIGS STREET,490I490I43022043,NYSDOT,1959,12,10
8158,4,Monroe,Irondequoit (Town),0.3 M E of SeaBreeze Dr.,Culver Road,IROND. BAY OUTLET,County,1998,12,10
17228,8,Westchester,Yonkers (City),1.9 MI N JCT SMRP & CCP,987D987D87011036,SAW MILL RIVER,NYSDOT,1957,12,10
13815,7,St Lawrence,Lawrence (Town),4 MI N OF FORT JACKSON,HALLAHAN ROAD,ALLEN BROOK,Town,2015,12,10
3715,3,Cortland,Cuyler (Town),2.0 MI NE OF CUYLER,HIGH BRIDGE ROAD,E BR TIOUGHNIOGA RIVER,County,1930,12,10
7538,4,Livingston,Groveland (Town),2.3MI N JCT RTS 36 + I390,390I390I42021149,KESHEQUA CREEK,NYSDOT,1982,12,10
13812,7,St Lawrence,Lawrence (Town),1.5 MI SE OF BRASHER FALL,FINNIGAN ROAD,TROUT BROOK,County,1959,12,10
7539,4,Livingston,Groveland (Town),2.3MI N JCT RTS 36 + I390,390I390I42021149,KESHEQUA CREEK,NYSDOT,1982,12,10
13856,7,St Lawrence,Norfolk (Town),IN NORFOLK,COUNTY ROAD 38A,RAQUETTE RIVER,County,1959,12,10
3335,7,Clinton,Mooers (Town),2.3 MI W OF MOOERS FORKS,LAMBERTON ROAD,ENGLISH RIVER,County,2017,12,10
9244,5,Niagara,Lewiston (Town),3.3 MI N JCT RT 190I & 31,190I 190I54011056,POWER RESERVOIR,NYSDOT,1963,12,10
6108,4,Genesee,Batavia (Town),6 MI W JCT RT 5 & 63 BATV,5   5 41031088,BOWEN CREEK,NYSDOT,1993,12,10
8320,4,Monroe,Rochester (City),0.5MI W JCT GOODMAN& I490,ALEXANDER STREET,490I490I43022040,NYSDOT,1959,12,10
16685,8,Westchester,Elmsford (Village),JCT I287 & SMRP,287I287I87011003,SAW MILL RVR PKWY,NYSDOT,1999,12,10
8372,4,Monroe,Rochester (City),1.2MI.W.JCT 490I & 441,SOUTH WINTON ROAD,490I490I43022065,NYSDOT,1989,12,10
8371,4,Monroe,Rochester (City),JCT I490 EAST + GOODMAN,SOUTH GOODMAN ST,490I490I43022045,NYSDOT,1959,12,10
8331,4,Monroe,Rochester (City),2.2MI W JCT I490EAST+441,CULVER ROAD,490I490I43022055,NYSDOT,1959,12,10
9250,5,Niagara,Lewiston (Town),1.9 MI N JCT RTS 265 + 31,265  265 54024046,POWER RESERVOIR,NYSDOT,1963,12,10
16920,8,Westchester,Mount Vernon (City),1.3 MI NW OF PELHAM MANOR,EAST 3RD STREET,UNIVERSAL MTL BLG,City,1912,12,10
5916,7,Franklin,Malone (Town),MALONE,LANE STREET,SALMON RIVER,County,1975,12,11
9561,2,Oneida,Deerfield (Town),1.6 MI N JCT RTS 12 & 49,921C920 26011102,12  12 26043405,NYSDOT,1969,12,11
10658,8,Orange,Chester (Village),.6 MI S JCT SH17M & SH 94,17M 17M83013119,NORFOLK SOUTHERN/NJ TRANSIT,NYSDOT,1941,12,11
9567,2,Oneida,Deerfield (Town),2 MI N JCT S.H.12 & SH 49,GFN RAMP,12  12 26043407,NYSDOT,1969,12,11
9969,2,Oneida,,Betsinger Road,BETSINGER ROAD,MUD CREEK (TAYLOR CREEK),Town,1997,12,11
16099,8,Ulster,Wawarsing (Town),1.6 MI N JCT RTS 209+55,209  55 86021123,VER NOOY KILL,NYSDOT,1933,12,11
1098,9,Broome,Binghamton (City),0.4 MI E EXIT 3 RTE I-81,BIGELOW STREET,81I 81I91012013,NYSDOT,1965,12,11
4948,5,Erie,Buffalo (City),1.9 MI SE JCT SH5 & BUF R,SOUTH PARK AVENUE,BUFFALO RIVER,City,1952,12,11
10279,3,Onondaga,Salina (Town),JCT US 11 NB & I81,I81SB OFF RAMP,11  11 33033022,NYSDOT,1971,12,11
1104,9,Broome,Binghamton (City),.6 MI E EXIT 3 OF I81,FAIRVIEW AVENUE,81I 81I91012010,NYSDOT,1965,12,11
8519,2,Montgomery,Florida (Town),1.5 MI E JCT RTS 5S & 160,5S  5S25033018,TERWILLEGER CREEK,NYSDOT,1957,12,11
1109,9,Broome,Binghamton (City),1.3 MI E EXIT 3 OF I81,WINDY HILL ROAD,81I 81I91012004,NYSDOT,1965,12,11
8281,4,Monroe,Rochester (City),IN ROCHESTER,31 X,SUBWAY TUNNEL,City,1974,12,11
3424,8,Columbia,Ancram (Town),6 MI NE JCT CR 2 + 987G,HALL HILL ROAD,ROELIFF JANSEN KILL,County,2010,12,11
16697,8,Westchester,Elmsford (Village),JCT SBSP&I287 AT ELMSFORD,987FX,287I287I87011011,NYSDOT,1970,12,11
16696,8,Westchester,Elmsford (Village),JCT SBSP&I287 AT ELMSFORD,987FX,287I287I87011011,NYSDOT,1970,12,11
7596,4,Livingston,Nunda (Town),1.5 MI NW OF NUNDA,DE GROFF ROAD,KESHEQUA CREEK,County,1975,12,11
16778,8,Westchester,Harrison (Village),0.3 MI E JCT RTE I287+HRP,KENILWORTH ROAD,287IX,NYSDOT,1960,12,11
12353,1,Rensselaer,East Greenbush (Town),1.5 MI S JCT RT I90 & 151,ELLIOT ROAD,90I 90I14022045,NYSDOT,1972,12,11
13985,7,St Lawrence,Waddington (Town),3.0 MI NE OF CHIPMAN,WAYNE HUNTER ROAD,BRANDY BROOK,County,2015,12,11
7605,4,Livingston,Ossian (Town),1.3 MI NE OF CANASERAGA,FAULKNER ROAD,CANASERAGA CREEK,County,2018,12,11
13924,7,St Lawrence,Potsdam (Village),POTSDAM .2 MI E RT 11&345,971U971U75011002,RAQUETTE RIVER,NYSDOT,1923,12,11
14225,6,Steuben,Corning (City),IN CORNING,BRIDGE STREET,CHEMUNG RIVER,City,1937,12,11
17076,8,Westchester,Rye (City),.2 MI E JCT I287 & US 1,287I 287I 87011002,RAMPS J R & D,NYSDOT,1957,12,11
8305,4,Monroe,Rochester (City),JCT INNER LOOP+GENESEE R,490I490I43022035,Genesee River,NYSDOT,2006,12,11
7972,4,Monroe,Gates (Town),JCT RTS I490 WB + I590 SB,390I390I43031002,490I490I43021179,NYSDOT,1963,12,11
10401,3,Onondaga,Syracuse (City),JCT OF RTE I-690+MIDLER,S. MIDLER AVENUE,690I690I33012050,NYSDOT,1968,12,11
13925,7,St Lawrence,Potsdam (Village),POTSDAM-.3 M E RT 11& 345,971U971U75011003,RAQUETTE RIVER,NYSDOT,1922,12,11
10958,8,Orange,Wallkill (Town),2.5 MI E JCT RTS 17+I84,84I  84I830217,HARVEY ROE BROOK,NYSDOT,1969,12,11
17279,8,Westchester,Yonkers (City),0.5 MI S JCT RTS SBSP+100,PALMER ROAD,987F 987F87011004,NYSDOT,1958,12,11
7884,4,Monroe,Brighton (Town),JUST N JCT I390 & SH 15,RAMP CH TO I390NB,OPEN AREA,NYSDOT,1981,12,11
17088,8,Westchester,Rye (City),.9 MI E JCT I95 & SH 127,COUNTY ROAD 73,95IX,NYS Thruway Authority,1996,12,12
10308,3,Onondaga,Syracuse (City),2.4 MI N JCT RTS I-81+173,81I 81I33032033,EAST ADAMS STREET,NYSDOT,1966,12,12
1013,11,Bronx,New York (City),AT HUNTS POINT,TIFFANY STREET,AMTRAK/CSXT/P&W,City,1908,12,12
8312,4,Monroe,Rochester (City),0.4MI W JCT I.L.&STATE ST,940T940T43011000,490I490I43022027,NYSDOT,1974,12,12
16831,8,Westchester,Mamaroneck (Village),AT MAMARONECK/ RYE,NO. BARRY AVENUE,MNRR NH LINE,Railroad,1887,12,12
4457,8,Dutchess,La Grange (Town),1.2 MI E OF ARLINGTON,DEGARMO ROAD,WAPPINGER CREEK,County,1972,12,12
4458,8,Dutchess,La Grange (Town),1.2 MI E OF ARLINGTON,DEGARMO ROAD,WAPPINGER CREEK,County,1972,12,12
13582,6,Schuyler,Montour Falls (Village),IN MONTOUR FALLS,N  LHOMMEDIEU STR,JOHNS CREEK,County,2018,12,12
16051,8,Ulster,Shawangunk (Town),0.8 MI NW OF WALKER VALLE,GRAU ROAD,PLATTE  KILL,County,1985,12,12
16826,8,Westchester,Mamaroneck (Village),AT MAMARONECK RYE,HILLSIDE AVENUE,MNRR  NH  LINE,Railroad,1887,12,12
2003,5,Cattaraugus,Yorkshire (Town),1.8 MI SW OF YORKSHIRE,MCKINSTRY ROAD,ELTON CREEK,County,1977,12,12
16664,8,Westchester,Croton-On-Hudson (Village),IN CROTON-ON-HUDSON,CROTON POINT AVE,YARD ROAD,Railroad,1996,12,12
